"SDOH_VAR","pe","ee1","ee2"
"INDEX_OF_MEDICAL_UNDERSERVICE_SCORE",2.63905732961526,0.199832534513581,0.202787052582225
"LA1AND10",0.693147180559945,0.733331704766626,0.691623617137583
"LA1AND20",0.693147180559945,0.695384813346821,0.635265348845932
"LAAIAN10SHARE",5.17614973257383,1.04622048706071,2.80041520602494
"LAAIAN1SHARE",6.97634807044775,3.45058181928634,5.03999044700771
"LAAIAN20SHARE",1.79175946922805,0.0193243729131231,0.318515193033716
"LAASIAN10SHARE",5.01727983681492,0.942210851182354,2.38414002910621
"LAASIAN1SHARE",7.01121398735037,3.46842803225063,5.06833132464099
"LAASIAN20SHARE",1.94591014905531,0.0212757386778504,0.93125070310949
"LAASIANHALFSHARE",7.20414929203594,3.82393894382028,5.26246455583744
"LABLACK10SHARE",5.15329159449778,1.05510977368972,2.83627571445102
"LABLACK1SHARE",7.05012252026906,3.54426659306999,5.18948551893356
"LABLACK20SHARE",1.09861228866811,0.0190003057727926,0.216757004938748
"LABLACKHALFSHARE",7.22475340576797,3.8537521842378,5.30657204945555
"LAHALFAND10",0.693147180559945,0.707095598462875,0.652850491954801
"LAHISP10SHARE",5.40717177146012,1.25712225555189,3.64469686160199
"LAHISP1SHARE",7.06731984865348,3.5551419496836,5.20686036802315
"LAHISP20SHARE",1.79175946922805,0.0193243729131231,0.318515193033716
"LAHISPHALFSHARE",7.2283884515736,3.85989528310256,5.31566181633217
"LAHUNV10SHARE",5.59471137960184,1.39615553711938,4.20167186077157
"LAHUNV1SHARE",7.03966034986208,3.57023337672265,5.23097095829306
"LAHUNV20SHARE",2.56494935746154,0.0234788842051033,1.62304591793491
"LAHUNVHALFSHARE",7.21007962817079,3.85526790058944,5.30881481138903
"LAKIDS10SHARE",5.65599181081985,1.45287402618559,4.42893858040738
"LAKIDS1SHARE",7.07496319796604,3.57912470694811,5.24517605761641
"LAKIDS20SHARE",2.56494935746154,0.0232082137245147,1.53805446324007
"LAKIDSHALFSHARE",7.23056315340929,3.8600493845249,5.3158898357789
"LALOWI10SHARE",5.68017260901707,1.45477860682196,4.43657009176525
"LALOWI1SHARE",7.07834157955767,3.57969770157437,5.24609149381901
"LALOWI20SHARE",2.63905732961526,0.0235130079713129,1.63376089698811
"LALOWIHALFSHARE",7.23056315340929,3.8600493845249,5.3158898357789
"LANHOPI10SHARE",3.61091791264422,0.512223567108443,0.662724607515928
"LANHOPI1SHARE",6.25766758788264,1.84952762696584,2.48341657809525
"LANHOPI20SHARE",0.693147180559945,0.0183825939778795,0.0227933931046501
"LANHOPIHALFSHARE",6.64898455002478,2.34387615856995,3.07337190989759
"LAOMULTIR10SHARE",5.4553211153577,1.32671506496547,3.92342911178084
"LAOMULTIR1SHARE",7.06902342657826,3.57591358821752,5.24004586231937
"LAOMULTIR20SHARE",2.07944154167984,0.0217896984791564,1.0926358348486
"LAOMULTIRHALFSHARE",7.23056315340929,3.8600493845249,5.3158898357789
"LAPOP10SHARE",5.68017260901707,1.45477860682196,4.43657009176525
"LAPOP1SHARE",7.07072410726028,3.56823166059759,5.22777294678606
"LAPOP20SHARE",2.63905732961526,0.0235130079713129,1.63376089698811
"LAPOPHALFSHARE",7.21081845347222,3.84576523862309,5.29475399552344
"LASENIORS10SHARE",5.66988092298052,1.45352994673006,4.43156680469437
"LASENIORS1SHARE",7.07665381544395,3.57938422480521,5.24559067239763
"LASENIORS20SHARE",2.63905732961526,0.0235130079713129,1.63376089698811
"LASENIORSHALFSHARE",7.22983877815125,3.8600221896278,5.31584959627108
"LASNAP10SHARE",5.68017260901707,1.45477860682196,4.43657009176525
"LASNAP1SHARE",7.0604763659998,3.57813882828961,5.2436009834813
"LASNAP20SHARE",2.63905732961526,0.0235130079713129,1.63376089698811
"LASNAPHALFSHARE",7.21007962817079,3.85817919427915,5.31312256900964
"LATRACTS1",0.693147180559945,0.695294749993607,0.635132140391719
"LATRACTS10",0.693147180559945,0.557843584652574,0.432514171097866
"LATRACTS20",0.693147180559945,0.265876118495065,0.00184293707270222
"LATRACTSVEHICLE_20",0.693147180559945,0.626740230810325,0.534290103495695
"LATRACTS_HALF",0.693147180559945,0.733183306641932,0.691026594672831
"LAWHITE10SHARE",5.68017260901707,1.45477860682196,4.43657009176525
"LAWHITE1SHARE",7.07918439460967,3.57978102644706,5.24622461654224
"LAWHITE20SHARE",2.63905732961526,0.0235130079713129,1.63376089698811
"LAWHITEHALFSHARE",7.22983877815125,3.85997101425966,5.31577387354929
"LILATRACTS_1AND10",0.693147180559945,0.622613948868731,0.528306667032217
"LILATRACTS_1AND20",0.693147180559945,0.59402241601637,0.486144125082523
"LILATRACTS_HALFAND10",0.693147180559945,0.689188227083377,0.626326790901797
"LILATRACTS_VEHICLE",0.693147180559945,0.563337142502,0.440702355484873
"LOWINCOMETRACTS",0.693147180559945,0.72748747803243,0.682790930355514
"MEDIANFAMILYINCOME",7.20042489294496,3.8128252364075,5.28589744691866
"NATWALKIND",4.64439089914137,2.91175684351631,4.17286116230961
"OHU2010",6.88959130835447,3.776334387029,5.19008857261318
"PCT_AO0",7.4500795698075,3.96134997096637,5.84707876471559
"PCT_AO1",7.67322312112171,4.28262203803612,6.359512822886
"PCT_AO2P",7.68294316987829,4.28069000111073,6.35643094981274
"POVERTYRATE",7.23633934275434,3.86312673146549,5.3184590321526
"P_WRKAGE",6.0137151560428,3.62387418971086,5.30877319442862
"RPL_THEME1",7.47760424319759,5.65473209242358,5.66048739597999
"RPL_THEME2",7.47760424319759,5.66097163776909,5.66673468227565
"RPL_THEME3",6.36475075685191,5.04375216781723,5.04874966191452
"RPL_THEME4",7.47022413589997,5.66144041439646,5.6672040404801
"RPL_THEMES",7.48155570190952,5.66851101823409,5.67428341630173
"RUCA_PRIMARY",2.30258509299405,1.56173881560277,1.91589988112634
"RUCA_SECONDARY",2.89037175789616,1.67461079407992,2.08282461957076
"R_PCTLOWWAGE",7.63240112660145,4.25072717839755,6.30863599553147
"URBAN",0.693147180559945,0.733508263326593,0.691658236286736
"WORKERS",6.81124437860129,3.9880951815278,5.8897087863267
